code,name,market,catagory,type
000560,我爱我家,A股,沪深A股,股票
605167,利柏特,A股,沪深A股,股票
600809,山西汾酒,A股,沪深A股,股票
600502,安徽建工,A股,沪深A股,股票
600593,大连圣亚,A股,沪深A股,股票
601888,中国中免,A股,沪深A股,股票
002867,周大生,A股,沪深A股,股票
300677,英科医疗,A股,沪深A股,股票
000090,天健集团,A股,沪深A股,股票
688018,乐鑫科技,A股,沪深A股,股票
002601,龙佰集团,A股,沪深A股,股票
000786,北新建材,A股,沪深A股,股票
300839,博汇股份,A股,沪深A股,股票
000046,泛海控股,A股,沪深A股,股票
300894,火星人,A股,沪深A股,股票
600393,粤泰股份,A股,沪深A股,股票
300151,昌红科技,A股,沪深A股,股票
300108,*ST吉药,A股,沪深A股,股票
600684,珠江股份,A股,沪深A股,股票
603345,安井食品,A股,沪深A股,股票
600519,贵州茅台,A股,沪深A股,股票
300753,爱朋医疗,A股,沪深A股,股票
600859,王府井,A股,沪深A股,股票
300501,海顺新材,A股,沪深A股,股票
600466,蓝光发展,A股,沪深A股,股票
301103,何氏眼科,A股,沪深A股,股票
002935,天奥电子,A股,沪深A股,股票
300947,德必集团,A股,沪深A股,股票
600272,开开实业,A股,沪深A股,股票
301027,华蓝集团,A股,沪深A股,股票
002183,怡亚通,A股,沪深A股,股票
688169,石头科技,A股,沪深A股,股票
300649,杭州园林,A股,沪深A股,股票
601998,中信银行,A股,沪深A股,股票
300117,嘉寓股份,A股,沪深A股,股票
301167,建研设计,A股,沪深A股,股票
301367,怡和嘉业,A股,沪深A股,股票
603636,南威软件,A股,沪深A股,股票
002707,众信旅游,A股,沪深A股,股票
000403,派林生物,A股,沪深A股,股票
603043,广州酒家,A股,沪深A股,股票
000999,华润三九,A股,沪深A股,股票
002979,雷赛智能,A股,沪深A股,股票
600600,青岛啤酒,A股,沪深A股,股票
000807,云铝股份,A股,沪深A股,股票
000909,数源科技,A股,沪深A股,股票
002659,凯文教育,A股,沪深A股,股票
300204,舒泰神,A股,沪深A股,股票
600585,海螺水泥,A股,沪深A股,股票
600121,郑州煤电,A股,沪深A股,股票
300979,华利集团,A股,沪深A股,股票
301336,趣睡科技,A股,沪深A股,股票
002159,三特索道,A股,沪深A股,股票
600031,三一重工,A股,沪深A股,股票
002336,人人乐,A股,沪深A股,股票
600419,天润乳业,A股,沪深A股,股票
603885,吉祥航空,A股,沪深A股,股票
688399,硕世生物,A股,沪深A股,股票
603976,正川股份,A股,沪深A股,股票
605336,帅丰电器,A股,沪深A股,股票
600208,新湖中宝,A股,沪深A股,股票
300030,阳普医疗,A股,沪深A股,股票
600639,浦东金桥,A股,沪深A股,股票
600576,祥源文化,A股,沪深A股,股票
605589,圣泉集团,A股,沪深A股,股票
000610,西安旅游,A股,沪深A股,股票
603439,贵州三力,A股,沪深A股,股票
301126,达嘉维康,A股,沪深A股,股票
002120,韵达股份,A股,沪深A股,股票
600872,中炬高新,A股,沪深A股,股票
301159,三维天地,A股,沪深A股,股票
