,fps,img_src,name
40,"['', '900p', '900p', '稳定60fps', '稳定60fps', '', '', '900p', '稳定60fps', '', '', '900p', '900p', '稳定60fps', '稳定60fps', '多人模式', '多人模式', '900p', '稳定60fps', '多人模式']",https://image.api.playstation.com/trophy/np/NPWR06693_00_00E0DD0B752282DE2FD2C4F62DFFE27FF5F12A2EAF/9EC676A4C641B673F265C233B0692AF8CD771D9D.PNG,"*** Hardline
*** 硬仗"
41,"['', '900p', '900p', '稳定60fps', '稳定60fps', '', '', '900p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR13387_00_00D6B0FB69485C47618E10F0F190246D4D85AEC3E3/DC622399D70493741D1C282FEE3FC14327C61B25.PNG,"*** V
***V"
42,"['', '动态1800c [1800c]', '动态1800c [1800c]', '稳定60fps', '稳定60fps', '', '', '动态1800c [1800c]', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR20438_00_002AE2B382C3E28D0FD6639FC929D00AEDC59188F4/144C693434999D73F3AAF65F510B1A53215CBBED.PNG,"Bayonetta 10TH Anniversary
猎天使魔女"
43,"['', '1440p', '1440p', '稳定60fps', '稳定60fps', '', '', '1440p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR20838_00_006C6EE92DB682FEE7850520E23FA40C8765C7124A/928ECB4802AD1E64BB99560250B7AB7A07C994BB.PNG,"BioShock 2: Remastered
生化奇兵2重制版"
44,"['', '1440p', '1440p', '稳定60fps', '稳定60fps', '', '', '1440p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR10824_00_0032F414F569060524DAB9843E949670CD579236CF/F23B7FE8C674A6869DF361654AAA40F82D479F74.PNG,"BioShock Infinite: The Complete Edition
生化奇兵 无限"
45,"['', '1440p', '1440p', '稳定60fps', '稳定60fps', '', '', '1440p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR20834_00_00ADBBF66AD19273E78CD3CF6CECD2AD17CF66AC65/D026336E82FAF5B3D8380EE654BDCECE0042A74B.PNG,"BioShock: Remastered
生化奇兵重制版"
46,"['', '1440p', '1440p', '60fps', '60fps', '', '', '1440p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR14058_00_0050A14B81D13ACD5D47B7EB9F77C4698465A2290F/12BA951E7FF2B6263C6659A7067EAC8C4DAF4624.PNG,"Black Clover: Quartet Knights
黑色五叶草 骑士四重奏"
47,"['', '2160g', '2160g', '稳定60fps', '稳定60fps', '', '', '2160g', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR18368_00_00EB31ED09063644914C3DB64B3B002B08040059AD/F9BB4674D67FF7A5F7F4A32F4AE6C9C3A6FB8F0C.PNG,"Black Desert
黑色沙漠"
48,"['', '1080p', '1080p', '60fps', '60fps', '', '', '1080p', '60fps', '', '', '2160t [~2160p]', '2160t [~2160p]', '30fps 卡顿', '30fps 卡顿', '', '', '2160t [~2160p]', '30fps 卡顿', '']",https://image.api.playstation.com/trophy/np/NPWR10301_00_00445CCB388A27A685035B507C944B2198A5364AAF/539CD468E06F96EA7DEABA473E74B8C6E4829D71.PNG,"BlazBlue: Central Fiction
苍翼默示录 神观之梦"
49,"['', '1080p', '1080p', '60fps', '60fps', '', '', '1080p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR16686_00_003A054C2863E63C5AD1F21F57B707AECB6A0504F4/C255DC5C5E98A951BD90D549C020CC2DADFFBCD2.PNG,"Blood and Truth
鲜血与真相"
50,"['', '动态2160p [~ 1972p]', '动态2160p [~ 1972p]', '90fps', '90fps', '', '', '动态2160p [~ 1972p]', '90fps', '']",https://image.api.playstation.com/trophy/np/NPWR05818_00_00347A646D41E9660F4153AD7A0274E2BC597C5A27/AE3477BA91121142BEB82AB2B7E2F8BAB9B3C17A.PNG,"Bloodborne
血源诅咒"
51,"['', '1080p', '1080p', '30fps 卡顿', '30fps 卡顿', '', '', '1080p', '30fps 卡顿', '']",https://image.api.playstation.com/trophy/np/NPWR19008_00_0043199553D90BFCE21B8CFB7B48A1CB77D9A71A8C/F6791EFA70A6C1D9EA385ABE28596DCD81B72318.PNG,"Bloodstained: Ritual of the Night
血污 夜之仪式 "
52,"['', '1080p', '1080p', '稳定60fps', '稳定60fps', '', '', '1080p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR11920_00_00159B08315EA0F046302F7B564AE0DA4C6718FDA9/2CFDE52418279267502BD5AEF897482AD81C26EF.PNG,"Blue Reflection
幻舞少女之剑"
53,"['', '2160g', '2160g', '稳定60fps', '稳定60fps', '', '', '2160g', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR10077_00_0085A43C0010BE1B9294BD2F9C48A199FC52C9F9BA/7C1997940AE688E99FF53BFD2925878433B5EB09.PNG,"Bombing Busters
爆破小超人"
54,"['', '1080p', '1080p', '30fps 卡顿', '30fps 卡顿', '', '', '1080p', '30fps 卡顿', '']",https://image.api.playstation.com/trophy/np/NPWR07862_00_00F713A87B20745C3B977A417323C8FE06B6264BC9/98022E75D1FD11046D888CCB51F0E5D54C09F26F.PNG,"Borderlands GOTY Edition
无主之地2 年度版"
55,"['', '动态1800p [~ 1800p]', '动态1800p [~ 1800p]', '60fps', '60fps', '提升了阴影和材质效果', '提升了阴影和材质效果', '动态1800p [~ 1800p]', '60fps', '提升了阴影和材质效果', '', 'splitscreen 动态1800p [~ 1800p]', 'splitscreen 动态1800p [~ 1800p]', '30fps', '30fps', '', '', 'splitscreen 动态1800p [~ 1800p]', '30fps', '']",https://image.api.playstation.com/trophy/np/NPWR07892_00_003FA51A157327D7CDA564A80FAF1808DFCC3D5111/3811B4651E7D8BE4305F08FFF82DACF917A5CEF3.PNG,"Borderlands: The Handsome Collection
无主之地: 帅杰克合集"
56,"['', '2160p', '2160p', '稳定60fps', '稳定60fps', '提升了阴影效果和材质', '提升了阴影效果和材质', '2160p', '稳定60fps', '提升了阴影效果和材质']",https://image.api.playstation.com/null.png,"Bound
舞之声"
57,"['', '2160g', '2160g', '稳定60fps', '稳定60fps', '拍照模式为2160p', '拍照模式为2160p', '2160g', '稳定60fps', '拍照模式为2160p', '', '1080p', '1080p', '稳定60fps', '稳定60fps', '提升了抗锯齿 拍照模式为2160p', '提升了抗锯齿 拍照模式为2160p', '1080p', '稳定60fps', '提升了抗锯齿 拍照模式为2160p']",https://image.api.playstation.com/null.png,"Bridge Constructor: The Walking Dead
桥梁建筑师: 行尸走肉"
58,"['', '2160p', '2160p', '60fps', '60fps', '', '', '2160p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR10060_00_00EC1ED745CB0FA6C9F3AD2A02773B24145756A1B5/B528DDE1B11EB03F261C838052827D47F3A9DFD4.PNG,"Broforce
武装原型"
59,"['', '1080p', '1080p', '60fps', '60fps', '', '', '1080p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR09127_00_0006973573DAAF2EC1D64716CB52848CFEEE43F8E5/3129DF831C779532FE352F6972D18877F0B6ECCD.PNG,"Brothers: A Tale of Two Sons
兄弟: 双子传说"
60,"['', '1080p', '1080p', '稳定30fps', '稳定30fps', '', '', '1080p', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR21242_00_00BA7DC629C11836FEA5514DC10FDCBB6B436DC7DD/8B80FC67B94E8C0EC7FBD67D2F287591AC41CCC1.PNG,"Bubble Bobble 4 Friends: The Baron is Back!
泡泡龙4伙伴 头骨怪的逆袭"
61,"['', '1440p', '1440p', '稳定60fps', '稳定60fps', '', '', '1440p', '稳定60fps', '']",https://www.psnine.com/006E941F72101453D27247C06E58CEBAAE3B73DFDC/B593CA398E048363BE7A2C50670062932816BE6D,"Bubsy: The Woolies Strike Back
巴比斯:伍尔利斯的反击"
62,"['', '1080p', '1080p', '稳定60fps', '稳定60fps', '', '', '1080p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR12411_00_00690E14685BD45E4332BA53E7F19417426BACB9BC/D68C4EC01F2786CA99C329299C84E33E04253E44.PNG,"Bulletstorm: Full Clip Edition
子弹风暴 完整剪辑版"
63,"['', '1728p', '1728p', '稳定60fps', '稳定60fps', '', '', '1728p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR13664_00_0043A76295BEB3DCC497B231953D0161A5AB94D422/ADF6B5E13A7FABEF8377A66FB88EFF409E5A63D2.PNG,"Burly Men at Sea
壮汉海上漂流记"
64,"['', '2160p', '2160p', '稳定30fps', '稳定30fps', '', '', '2160p', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR14842_00_007326ECF7B78940E23D1587323910E816F1620087/3EE308581E8BCB89C0C9A2613EEF060320636DB5.PNG,"Burnout Paradise Remastered
火爆狂飙:天堂复刻版"
65,"['', '2160p', '2160p', '稳定60fps', '稳定60fps', '', '', '2160p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR08801_00_00164BF2B729BCF4C3F5083E55A49F3BCD6E4A0F91/CFA5D56C27423A504D7F63AEB01033BED6EB50D1.PNG,"Call of Duty: Black Ops III
使命召唤 黑色行动3"
66,"['', '多人模式 动态2160c [2160c]', '多人模式 动态2160c [2160c]', '60fps', '60fps', '', '', '多人模式 动态2160c [2160c]', '60fps', '', '', '动态2160c [~2160c]', '动态2160c [~2160c]', '稳定60fps', '稳定60fps', '', '', '动态2160c [~2160c]', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR10788_00_004ECD8F1D1DE1D7965C8BCFEE6BC1376C75F192AB/656933E3E465C9C8877CB89B63D53891A71944F1.PNG,"Call of Duty: Infinite Warfare
使命召唤 无尽战争"
67,"['', '动态2160t [~2160p]', '动态2160t [~2160p]', '60fps', '60fps', '', '', '动态2160t [~2160p]', '60fps', '', '', 'multiplayer 动态2160t[~2160p]', 'multiplayer 动态2160t[~2160p]', '稳定60fps', '稳定60fps', '', '', 'multiplayer 动态2160t[~2160p]', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR14706_00_0029C4E3C5E3C900EE9AD926F72BCCE4ED27262D1D/599BA3A49BC4AC1CE5BE76CF35A6B606217F86ED.PNG,"Call of Duty: Modern Warfare 2 Remastered
使命召唤 现代战争2"
68,"['', '1620p', '1620p', '稳定60fps', '稳定60fps', '', '', '1620p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR11595_00_00F101528D668EF21B72E363608FEB3858F77AD165/31356DA924E250168437704E9D2978C6B9AEF54F.PNG,"Call of Duty: WW II
使命召唤 二战"
69,"['', '多人模式 动态2160t [~1980p]', '多人模式 动态2160t [~1980p]', '稳定60fps', '稳定60fps', '', '', '多人模式 动态2160t [~1980p]', '稳定60fps', '']",https://image.api.playstation.com/null.png,"Call of Duty: Warzone
"
70,"['', '动态1528t [1528p]', '动态1528t [1528p]', '稳定60fps', '稳定60fps', '', '', '动态1528t [1528p]', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR16410_00_0052FF80CB779E5745AB3FBE511AD4F99AE5A505F7/9AEF53D9FFE280060E6107931A7759C57D2ADFDF.PNG,"Castlevania Requiem: Symphony of the Night & Rondo of Blood
恶魔城 安魂曲:月下夜想曲&血之轮回"
71,"['', '1080p', '1080p', '60fps', '60fps', '', '', '1080p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR17415_00_003269CD2ED5B13747402CFC7762D434E8DD3C01E7/93B2456E6A9A5D3C7EAAD7797D0802B3827B0585.PNG,"Catherine: Full Body
凯瑟琳 FullBody"
72,"['', '1080p', '1080p', '稳定30fps', '稳定30fps', '', '', '1080p', '稳定30fps', '']",https://image.api.playstation.com/trophy/np/NPWR14979_00_0098C9DD8EF168B68C83B9DB7AB7B41B24FC7F820A/DCF08B64B35675B0E9F58170C202767243085720.PNG,"Celeste
蔚蓝"
73,"['', '1080p', '1080p', '稳定60fps', '稳定60fps', '', '', '1080p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR09884_00_00E52AB59C5258E57F05BDF40CE9250799ABC7AAD3/8EBF1F73E4FD22F4F80370CE710D3B5F901D2376.PNG,"City Shrouded in Shadow
巨影都市"
74,"['', '1080p', '1080p', '60fps', '60fps', '', '', '1080p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR17733_00_00C56B866A56CA5330AD09FA9798B4C4B3369E428A/3322E450E6C4590343AB174FE44FE32BD2D42EEC.PNG,"Close to the Sun
伊卡洛斯悲歌"
75,"['', '1080p', '1080p', '60fps', '60fps', '', '', '1080p', '60fps', '']",https://image.api.playstation.com/trophy/np/NPWR14318_00_00ED5C9FFA150D7D17CFE2C8930CE46713949B2361/6F3920E968F334ABE84E578FBEEC838FBA158FC2.PNG,"Code Vein
噬血代码"
76,"['', '1440p', '1440p', '稳定60fps', '稳定60fps', '', '', '1440p', '稳定60fps', '']",https://image.api.playstation.com/trophy/np/NPWR14626_00_004A2D5F5DDD3E08862E9B143BF8C6FA0DF3932B4D/4D85B4A56442977AD5FF33265AE67556B994BD71.PNG,"Conan Exiles
科南的流亡"
77,"['', '1080p', '1080p', '30fps', '30fps', '提升了植被效果 模型精度 阴影效果', '提升了植被效果 模型精度 阴影效果', '1080p', '30fps', '提升了植被效果 模型精度 阴影效果']",https://image.api.playstation.com/trophy/np/NPWR15388_00_00806D5CF395B2FE69CFECBDA468557E1208B188C8/4A25435948573E1735CDDF00621F47E93DB12985.PNG,"Concrete Genie
壁中精灵"
78,"['', '1080p', '1080p', '稳定30fps', '稳定30fps', '', '', '1080p', '稳定30fps', '', '', '1440p', '1440p', '稳定30fps', '稳定30fps', '', '', '1440p', '稳定30fps', '']",https://www.psnine.com/0069DC36ABD85BF92F451638562D7FA49D6633DEA5/124B404CD0E0E7EAAE3B3D3DAE98AFCA65DD5D01,"Contrast
光与影"
